Product,Issue,Company,State,ZIP code,Complaint ID
debt collection,attempts collect debt owed,ad astra recovery services inc,TX,77055,3236263
debt collection,attempts collect debt owed,diversified consultants inc,TX,78043,3236189
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,WA,983XX,3235513
credit reporting credit repair services personal consumer reports,incorrect information report,american honda finance corp,CA,90025,3236078
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,MI,48098,3235818
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,OH,43123,3235573
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,equifax inc,FL,328XX,3235564
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,NY,11801,3235480
payday loan title loan personal loan,struggling pay loan,navy federal credit union,GA,30097,3236427
checking savings account,managing account,certegy holdings llc,GA,31794,3235835
mortgage,trouble payment process,bayview loan servicing llc,NY,14120,3235820
mortgage,struggling pay mortgage,primary residential mortgage,CA,92877,3236502
debt collection,attempts collect debt owed,millco management,PA,193XX,3235791
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,KY,40220,3235924
debt collection,attempts collect debt owed,illinois collection service inc,IL,60623,3236364
mortgage,applying mortgage refinancing existing mortgage,ally financial inc,CA,94565,3237406
payday loan title loan personal loan,charged fees interest expect,navy federal credit union,VA,23831,3236287
credit reporting credit repair services personal consumer reports,incorrect information report,byrider franchising llc,IL,604XX,3235991
debt collection,attempts collect debt owed,ad astra recovery services inc,TX,76712,3236213
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,GA,302XX,3235494
debt collection,written notification debt,ability recovery services llc,PA,191XX,3235603
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,335XX,3235575
debt collection,attempts collect debt owed,nra group llc,FL,322XX,3235801
debt collection,written notification debt,online information services inc,GA,31520,3236470
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,TN,379XX,3235574
debt collection,communication tactics,first associates loan servicing llc,ID,836XX,3235972
debt collection,communication tactics,oracle financial group llc,TX,773XX,3236088
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,lexisnexis,NY,11218,3235757
checking savings account,managing account,ally financial inc,GA,31907,3235718
debt collection,attempts collect debt owed,curo intermediate holdings,TX,77055,3236567
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,90211,3235565
debt collection,attempts collect debt owed,harris  harris ltd,IL,606XX,3235519
debt collection,threatened contact someone share information improperly,d scott carruthers,CA,944XX,3236729
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,MO,64130,3235543
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,UT,840XX,3235525
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CO,810XX,3235553
debt collection,communication tactics,webcollex llc,VA,222XX,3236357
debt collection,took threatened take negative legal action,national business factors,NV,89431,3236297
mortgage,struggling pay mortgage,nationstar mortgage,CA,92026,3237673
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,hcfs health care financial services inc,GA,303XX,3236703
debt collection,attempts collect debt owed,miramed revenue group llc,NY,109XX,3236012
debt collection,attempts collect debt owed,perfection collection,GA,303XX,3236759
credit reporting credit repair services personal consumer reports,incorrect information report,online information services inc,TN,38116,3236270
debt collection,attempts collect debt owed,hillcrest davidson  assoc,PA,191XX,3236160
credit reporting credit repair services personal consumer reports,incorrect information report,ally financial inc,CA,91202,3235709
debt collection,written notification debt,riverwalk financial corporation,OH,442XX,3235722
debt collection,written notification debt,associated credit services inc,TX,79747,3236360
debt collection,communication tactics,diversified consultants inc,LA,704XX,3235462
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,33436,3235509
debt collection,attempts collect debt owed,gla collection company inc,IN,462XX,3235725
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,fifth third financial corporation,NY,14221,3236063
vehicle loan lease,problem credit reporting companys investigation existing problem,american honda finance corp,RI,028XX,3236110
debt collection,attempts collect debt owed,procollect inc,TX,775XX,3235529
debt collection,communication tactics,pendrick capital partners holding llc,DC,200XX,3236057
credit card prepaid card,incorrect information report,army air force exchange service,CA,913XX,3235595
debt collection,attempts collect debt owed,amcol systems inc,TX,782XX,3236342
debt collection,false statements representation,asset management outsourcing inc,VA,22031,3235963
checking savings account,closing account,us bancorp,MD,21117,3235783
debt collection,attempts collect debt owed,keynote consulting inc,CA,953XX,3235973
payday loan title loan personal loan,struggling pay loan,ad astra recovery services inc,CA,92782,3236629
vehicle loan lease,managing loan lease,ally financial inc,NJ,08701,3235763
debt collection,took threatened take negative legal action,american coradius international llc,WA,98110,3236260
debt collection,written notification debt,the cmi group inc,SC,297XX,3236542
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,MD,20785,3235471
mortgage,trouble payment process,cardinal financial company,IL,601XX,3234471
debt collection,attempts collect debt owed,navy federal credit union,FL,33322,3234253
credit reporting credit repair services personal consumer reports,improper use report,onemain financial holdings llc,PA,152XX,3234244
credit reporting credit repair services personal consumer reports,incorrect information report,convergent resources inc,GA,30328,3233798
credit card prepaid card,advertising marketing including promotional offers,american express company,IL,602XX,3234200
money transfer virtual currency money service,money available promised,paypal holdings inc,CT,063XX,3235143
payday loan title loan personal loan,problem payoff process end loan,navy federal credit union,MS,39073,3234164
debt collection,attempts collect debt owed,sequium asset solutions llc,KS,672XX,3235429
debt collection,attempts collect debt owed,ally financial inc,NC,282XX,3234536
debt collection,communication tactics,maury cobb attorney law llc,CA,924XX,3233668
debt collection,attempts collect debt owed,commonwealth financial systems inc,TX,750XX,3235607
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,capital accounts llc,TX,760XX,3235181
mortgage,struggling pay mortgage,ocwen loan servicing llc,DE,197XX,3234232
debt collection,attempts collect debt owed,stone creek financial inc,OH,432XX,3234998
debt collection,attempts collect debt owed,convergent resources inc,CT,06460,3234578
debt collection,attempts collect debt owed,synchrony financial,CA,90221,3234900
credit reporting credit repair services personal consumer reports,incorrect information report,colony brands inc,WI,532XX,3234467
credit reporting credit repair services personal consumer reports,incorrect information report,diversified consultants inc,CT,064XX,3233672
debt collection,written notification debt,synchrony financial,PR,009XX,3234885
student loan,dealing lender servicer,aespheaa,PA,19026,3235328
credit reporting credit repair services personal consumer reports,incorrect information report,rent recovery solutions,GA,30328,3234043
debt collection,took threatened take negative legal action,emmett l goodman jr llc,GA,312XX,3234802
debt collection,false statements representation,collection bureau incorporated,ID,83715,3235195
debt collection,attempts collect debt owed,ability recovery services llc,PA,19134,3234782
debt collection,written notification debt,credit protection association lp,AZ,85710,3235104
debt collection,attempts collect debt owed,navy federal credit union,FL,33322,3234266
debt collection,threatened contact someone share information improperly,northern resolution services,OH,454XX,3235410
debt collection,attempts collect debt owed,online information services inc,AL,358XX,3234698
debt collection,attempts collect debt owed,diversified consultants inc,AZ,850XX,3234554
credit card prepaid card,getting credit card,navy federal credit union,TX,75287,3234768
debt collection,attempts collect debt owed,navy federal credit union,CA,920XX,3233866
debt collection,took threatened take negative legal action,diversified consultants inc,LA,704XX,3235446
debt collection,attempts collect debt owed,monterey financial services llc,VA,236XX,3235086
credit card prepaid card,getting credit card,synchrony financial,SC,29644,3235314
debt collection,false statements representation,th professional  medical collections ltd,IL,616XX,3235372
debt collection,attempts collect debt owed,designed receivable solultions inc,CA,902XX,3234978
credit card prepaid card,fees interest,army air force exchange service,FL,33511,3234787
mortgage,applying mortgage refinancing existing mortgage,nationstar mortgage,CA,92026,3234830
credit reporting credit repair services personal consumer reports,incorrect information report,sterling infosystems inc,CA,90706,3234228
credit reporting credit repair services personal consumer reports,incorrect information report,navy federal credit union,FL,33030,3234914
debt collection,attempts collect debt owed,southwest credit systems lp,NJ,070XX,3234635
debt collection,communication tactics,erc,FL,339XX,3234221
money transfer virtual currency money service,problem customer service,navy federal credit union,GA,31907,3235022
debt collection,written notification debt,general business recoveries inc,AZ,85710,3234621
checking savings account,managing account,navy federal credit union,CA,955XX,3234819
credit reporting credit repair services personal consumer reports,improper use report,american express company,PA,152XX,3234230
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TX,776XX,3234606
mortgage,trouble payment process,flagstar bank fsb,TX,775XX,3234288
debt collection,attempts collect debt owed,ability recovery services llc,FL,32907,3235432
debt collection,written notification debt,online information services inc,FL,32216,3234515
debt collection,attempts collect debt owed,pendrick capital partners holding llc,AL,350XX,3235186
credit reporting credit repair services personal consumer reports,incorrect information report,collection professionals inc illinois,IL,60435,3234524
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,online information services inc,FL,32571,3234969
debt collection,attempts collect debt owed,source receivables management llc,CA,902XX,3235164
credit reporting credit repair services personal consumer reports,improper use report,ally financial inc,WI,53061,3235088
debt collection,attempts collect debt owed,r  b corporation virginia,VA,23601,3234492
credit reporting credit repair services personal consumer reports,improper use report,barclays bank delaware,IL,628XX,3234398
payday loan title loan personal loan,vehicle repossessed sold vehicle,bmo harris bank national association,GA,313XX,3234543
mortgage,trouble payment process,ditech financial llc,TX,77320,3234795
debt collection,attempts collect debt owed,diversified consultants inc,KY,421XX,3234255
mortgage,trouble payment process,nationstar mortgage,NM,880XX,3235172
debt collection,attempts collect debt owed,convergent resources inc,IN,462XX,3234945
credit reporting credit repair services personal consumer reports,incorrect information report,bayview loan servicing llc,DC,200XX,3235070
debt collection,written notification debt,commonwealth financial systems inc,CA,92120,3234240
mortgage,applying mortgage refinancing existing mortgage,advisors mortgage group llc,NY,10469,3235224
debt collection,written notification debt,online information services inc,GA,303XX,3234620
debt collection,attempts collect debt owed,millco management,FL,329XX,3234618
mortgage,struggling pay mortgage,nationstar mortgage,CT,06606,3235032
debt collection,attempts collect debt owed,commonwealth financial systems inc,CA,902XX,3234933
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,transunion intermediate holdings inc,GA,30233,3233752
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NY,10461,3233884
payday loan title loan personal loan,incorrect information report,mt bank corporation,TX,77091,3233980
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MN,553XX,3233955
debt collection,attempts collect debt owed,cmre financial services inc,CA,91615,3234029
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NY,11218,3233803
mortgage,trouble payment process,nationstar mortgage,WA,986XX,3233998
credit card prepaid card,problem purchase shown statement,hsbc north america holdings inc,KS,66212,3233407
mortgage,trouble payment process,jpmorgan chase  co,FL,33578,3235167
debt collection,attempts collect debt owed,first credit services inc,NJ,07304,3234072
debt collection,written notification debt,automotive credit corporation,IN,461XX,3233349
vehicle loan lease,incorrect information report,toyota motor credit corporation,CA,95126,3233364
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,760XX,3233537
debt collection,took threatened take negative legal action,citibank na,MN,55398,3233493
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11691,3232869
debt collection,written notification debt,alpine credit inc,CO,80220,3234130
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,OH,441XX,3232783
student loan,dealing lender servicer,navient solutions llc,NC,275XX,3233391
checking savings account,managing account,flagstar bank fsb,OH,45874,3235057
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,innovis,NJ,08097,3233329
debt collection,attempts collect debt owed,diversified consultants inc,CO,800XX,3233487
mortgage,closing mortgage,ally financial inc,CA,94565,3234591
checking savings account,managing account,navy federal credit union,TX,75056,3233618
vehicle loan lease,managing loan lease,huntington national bank the,TN,37920,3233393
credit reporting credit repair services personal consumer reports,incorrect information report,synchrony financial,NC,27330,3232804
student loan,dealing lender servicer,bass  associates pc attorneys law,CA,906XX,3234090
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,935XX,3234098
debt collection,attempts collect debt owed,midwest recovery systems,TX,750XX,3233720
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,IL,60475,3233695
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,CA,93535,3233810
debt collection,attempts collect debt owed,army air force exchange service,FL,32304,3234107
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,navy federal credit union,NJ,071XX,3233704
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,NY,115XX,3233456
debt collection,communication tactics,capital accounts llc,LA,710XX,3232855
debt collection,attempts collect debt owed,community health investment company llc,FL,341XX,3233857
vehicle loan lease,incorrect information report,american honda finance corp,TX,770XX,3233982
debt collection,threatened contact someone share information improperly,southern management corp,TN,378XX,3233930
checking savings account,opening account,fifth third financial corporation,TN,38016,3234749
debt collection,attempts collect debt owed,ability recovery services llc,NC,282XX,3233573
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,VA,234XX,3233355
money transfer virtual currency money service,other transaction problem,coinbase inc,NC,282XX,3234084
checking savings account,opening account,huntington national bank the,CA,91302,3233674
debt collection,written notification debt,amcol systems inc,OH,430XX,3233569
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,FL,331XX,3233642
debt collection,took threatened take negative legal action,d2 management llc,TX,799XX,3233556
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30350,3233819
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,32259,3233386
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,CA,93535,3233845
credit card prepaid card,problem purchase shown statement,american express company,GA,303XX,3233844
debt collection,threatened contact someone share information improperly,perfection collection,FL,33446,3233516
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MD,20774,3233245
debt collection,written notification debt,hcfs health care financial services inc,OH,44108,3233706
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11763,3232822
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,320XX,3233578
debt collection,attempts collect debt owed,trident asset management llc,NJ,080XX,3233971
debt collection,attempts collect debt owed,cl holdings llc,CA,926XX,3232848
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,CA,92019,3233421
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,MI,481XX,3233283
credit reporting credit repair services personal consumer reports,incorrect information report,accelerated financial solutions llc,NY,104XX,3232866
credit card prepaid card,getting credit card,navy federal credit union,SC,29201,3234149
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33908,3233260
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,125XX,3232834
mortgage,incorrect information report,kentucky housing corporation,KY,40214,3233258
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MA,020XX,3232772
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,320XX,3233475
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,760XX,3233533
mortgage,trouble payment process,fifth third financial corporation,NY,11747,3233600
checking savings account,managing account,ally financial inc,NY,10468,3234851
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,equifax inc,NJ,08056,3233292
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MA,020XX,3232839
mortgage,struggling pay mortgage,nationstar mortgage,WI,532XX,3233973
mortgage,trouble payment process,flagstar bank fsb,CA,919XX,3233453
credit card prepaid card,advertising marketing including promotional offers,american express company,CT,06820,3233799
debt collection,took threatened take negative legal action,diversified consultants inc,LA,704XX,3232798
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MO,65721,3233370
money transfer virtual currency money service,fraud scam,square inc,PA,152XX,3233921
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,FL,333XX,3233923
debt collection,attempts collect debt owed,collection professionals inc wyoming,WY,828XX,3233724
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,equifax inc,NJ,08097,3233272
debt collection,attempts collect debt owed,diversified consultants inc,OK,740XX,3233683
debt collection,attempts collect debt owed,credit karma inc,FL,327XX,3233816
mortgage,trouble payment process,flagstar bank fsb,CA,94566,3234044
debt collection,took threatened take negative legal action,associated credit services inc,FL,334XX,3233544
debt collection,communication tactics,jh portfolio debt equities llc,CA,92672,3233981
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MN,553XX,3233983
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,NV,89113,3233860
debt collection,attempts collect debt owed,mrs bpo llc,TX,78258,3233713
debt collection,attempts collect debt owed,gla collection company inc,IN,462XX,3233414
debt collection,attempts collect debt owed,diversified consultants inc,CA,95219,3233905
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CT,06830,3233710
credit card prepaid card,problem purchase shown statement,synchrony financial,CA,913XX,3233541
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,innovis,NJ,08056,3233325
debt collection,attempts collect debt owed,transunion intermediate holdings inc,FL,320XX,3233504
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CT,06830,3233711
mortgage,trouble payment process,santander bank national association,MA,01609,3233626
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,115XX,3233893
debt collection,took threatened take negative legal action,granite creditors service inc,CA,945XX,3233506
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33127,3232846
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MA,027XX,3233188
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30340,3232831
debt collection,false statements representation,jon barry associates inc,FL,33027,3233621
payday loan title loan personal loan,charged fees interest expect,ace cash express inc,TX,786XX,3234163
debt collection,attempts collect debt owed,ad astra recovery services inc,CA,91615,3233989
checking savings account,managing account,navy federal credit union,FL,32826,3233203
credit card prepaid card,closing account,us bancorp,DC,20019,3233489
payday loan title loan personal loan,charged fees interest expect,santander bank national association,NJ,08540,3233627
debt collection,attempts collect debt owed,collectech diversified inc,TX,79413,3234148
checking savings account,managing account,mufg union bank national association,OR,97365,3235212
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3233718
debt collection,attempts collect debt owed,eos holdings inc,AZ,85142,3233827
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,331XX,3233635
credit card prepaid card,advertising marketing including promotional offers,american express company,AZ,850XX,3233924
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,765XX,3233478
payday loan title loan personal loan,charged fees interest expect,simple cash loans inc,CA,94610,3233388
money transfer virtual currency money service,managing opening closing mobile wallet account,google compare credit cards inc,PA,19454,3233462
debt collection,written notification debt,cmre financial services inc,AZ,85710,3232871
credit card prepaid card,problem purchase shown statement,bank of america national association,VA,22153,3234747
credit reporting credit repair services personal consumer reports,incorrect information report,innovis,UT,841XX,3234073
debt collection,written notification debt,erc,WA,981XX,3234171
mortgage,struggling pay mortgage,phh mortgage services corporation,MI,48073,3233368
money transfer virtual currency money service,fraud scam,jpmorgan chase  co,PA,152XX,3233534
checking savings account,managing account,capital one financial corporation,OH,441XX,3233551
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,innovis,NJ,08097,3233324
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,innovis,NJ,08056,3233328
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,36108,3232841
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MN,554XX,3233909
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,60612,3233317
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NC,278XX,3233726
student loan,dealing lender servicer,western benefits group llc,MA,01420,3233327
checking savings account,problem lender company charging account,omni financial group inc,TX,75155,3232850
checking savings account,opening account,navy federal credit union,CA,914XX,3233745
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NJ,078XX,3233660
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,SC,292XX,3234118
debt collection,attempts collect debt owed,diversified consultants inc,IL,604XX,3234154
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,113XX,3233515
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,FL,33073,3233265
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CT,06825,3232824
credit card prepaid card,closing account,citibank na,CO,806XX,3232998
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,MN,553XX,3232910
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,cig financial llc,CA,92346,3233100
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MN,553XX,3232920
checking savings account,managing account,wells fargo  company,CA,928XX,3232636
credit card prepaid card,problem purchase shown statement,american express company,FL,336XX,3232656
debt collection,attempts collect debt owed,ability recovery services llc,CO,810XX,3233075
credit card prepaid card,getting credit card,synchrony financial,TN,380XX,3232676
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,TX,77007,3233211
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,786XX,3232905
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,333XX,3233233
debt collection,attempts collect debt owed,mrs bpo llc,LA,70115,3232878
credit card prepaid card,getting credit card,ic system inc,AZ,857XX,3233031
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,77017,3233217
debt collection,attempts collect debt owed,convergent resources inc,MN,553XX,3233179
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,302XX,3232589
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,333XX,3232618
debt collection,took threatened take negative legal action,harvard collections llc,FL,333XX,3232902
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,TX,77007,3233205
student loan,getting loan,social finance inc,CT,068XX,3233113
debt collection,written notification debt,first credit services inc,MD,208XX,3233091
debt collection,took threatened take negative legal action,curo intermediate holdings,CA,923XX,3233088
debt collection,attempts collect debt owed,sequium asset solutions llc,UT,846XX,3232918
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,77020,3232981
credit reporting credit repair services personal consumer reports,improper use report,corelogic inc,FL,33625,3233155
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,77388,3233174
